layer,description,relative_path,absolute_path,size,sha256,head16_hex
1DPW outer entry,exact header_size + payload_size slice from ui4.wpk,artifacts/000005_77f55b584213beb7a0f0c0410b56ec86_outer.1dpw,E:\提取成果\明日拆包\03_WPK_1DPW\artifacts\000005_77f55b584213beb7a0f0c0410b56ec86_outer.1dpw,323,216c6672a0caa839ab8d68e4f44b978e627356c1eee9c0287e21ef01a1234e19,314450570200000077f55b584213beb7
WPD1 payload,payload beginning with AC control header,artifacts/000005_77f55b584213beb7a0f0c0410b56ec86_payload.wpd1,E:\提取成果\明日拆包\03_WPK_1DPW\artifacts\000005_77f55b584213beb7a0f0c0410b56ec86_payload.wpd1,275,0d34e780b14cdb2942c28d0472137d84ca7012b21baf317ca88e0803b6ebac76,414301009b58ef31c3c3d9c1f2d6719d
stage-1 decoded,DTSZ wrapper plus complete Zstandard frame,artifacts/000005_77f55b584213beb7a0f0c0410b56ec86_stage1.dtsz,E:\提取成果\明日拆包\03_WPK_1DPW\artifacts\000005_77f55b584213beb7a0f0c0410b56ec86_stage1.dtsz,267,0e322cd8f92f73ced698fc721b700b871905ce2f1feab9b4c60472e28fcd7612,4454535a28b52ffd6014aced0700420b
final resource,strictly decompressed DDS resource,artifacts/000005_77f55b584213beb7a0f0c0410b56ec86_final.dds,E:\提取成果\明日拆包\03_WPK_1DPW\artifacts\000005_77f55b584213beb7a0f0c0410b56ec86_final.dds,44308,b6daa6d78217f494c69aab68039b37f7e519d9ff10512f901d2623c71fcd5a28,444453207c00000007100800b8000000
derived preview,deterministic PNG conversion; pixels hash-match DDS decode,artifacts/000005_77f55b584213beb7a0f0c0410b56ec86_preview.png,E:\提取成果\明日拆包\03_WPK_1DPW\artifacts\000005_77f55b584213beb7a0f0c0410b56ec86_preview.png,634,aa585f272df63c9c5e56a544af62986a7ab3af9fad6b5ba32479554c80572d5a,89504e470d0a1a0a0000000d49484452
